Subject,Start Date,All Day Event,Description
Svátek DE 🇩🇪,2025-01-01,True,"✨ Feiertag: Neujahrstag
📍 Gültig in: National
📅 Datum: 2025-01-01"
Svátek DE 🇩🇪,2025-01-06,True,"✨ Feiertag: Heilige Drei Könige
📍 Gültig in: Baden-Württemberg, Bayern, Sachsen-Anhalt
📅 Datum: 2025-01-06"
Svátek DE 🇩🇪,2025-03-08,True,"✨ Feiertag: Internationaler Frauentag
📍 Gültig in: Berlin, Mecklenburg-Vorpommern
📅 Datum: 2025-03-08"
Svátek DE 🇩🇪,2025-04-18,True,"✨ Feiertag: Karfreitag
📍 Gültig in: National
📅 Datum: 2025-04-18"
Svátek DE 🇩🇪,2025-04-20,True,"✨ Feiertag: Ostersonntag
📍 Gültig in: Brandenburg
📅 Datum: 2025-04-20"
Svátek DE 🇩🇪,2025-04-21,True,"✨ Feiertag: Ostermontag
📍 Gültig in: National
📅 Datum: 2025-04-21"
Svátek DE 🇩🇪,2025-05-01,True,"✨ Feiertag: Tag der Arbeit
📍 Gültig in: National
📅 Datum: 2025-05-01"
Svátek DE 🇩🇪,2025-05-08,True,"✨ Feiertag: 80. Jahrestag des Endes des Zweiten Weltkriegs
📍 Gültig in: Berlin
📅 Datum: 2025-05-08"
Svátek DE 🇩🇪,2025-05-29,True,"✨ Feiertag: Christi Himmelfahrt
📍 Gültig in: National
📅 Datum: 2025-05-29"
Svátek DE 🇩🇪,2025-06-08,True,"✨ Feiertag: Pfingstsonntag
📍 Gültig in: Brandenburg
📅 Datum: 2025-06-08"
Svátek DE 🇩🇪,2025-06-09,True,"✨ Feiertag: Pfingstmontag
📍 Gültig in: National
📅 Datum: 2025-06-09"
Svátek DE 🇩🇪,2025-06-19,True,"✨ Feiertag: Fronleichnam
📍 Gültig in: Baden-Württemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Thüringen
📅 Datum: 2025-06-19"
Svátek DE 🇩🇪,2025-08-15,True,"✨ Feiertag: Mariä Himmelfahrt
📍 Gültig in: Bayern, Saarland
📅 Datum: 2025-08-15"
Svátek DE 🇩🇪,2025-09-20,True,"✨ Feiertag: Weltkindertag
📍 Gültig in: Thüringen
📅 Datum: 2025-09-20"
Svátek DE 🇩🇪,2025-10-03,True,"✨ Feiertag: Tag der Deutschen Einheit
📍 Gültig in: National
📅 Datum: 2025-10-03"
Svátek DE 🇩🇪,2025-10-31,True,"✨ Feiertag: Reformationstag
📍 Gültig in: National außer Baden-Württemberg, Bayern, Berlin, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland
📅 Datum: 2025-10-31"
Svátek DE 🇩🇪,2025-11-01,True,"✨ Feiertag: Allerheiligen
📍 Gültig in: Baden-Württemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland
📅 Datum: 2025-11-01"
Svátek DE 🇩🇪,2025-11-19,True,"✨ Feiertag: Buß- und Bettag
📍 Gültig in: Sachsen
📅 Datum: 2025-11-19"
Svátek DE 🇩🇪,2025-12-25,True,"✨ Feiertag: Erster Weihnachtstag
📍 Gültig in: National
📅 Datum: 2025-12-25"
Svátek DE 🇩🇪,2025-12-26,True,"✨ Feiertag: Zweiter Weihnachtstag
📍 Gültig in: National
📅 Datum: 2025-12-26"
